Type,Operator,Registration
Aerospatiale Caravelle 6N,JAT Yugoslav Airlines,YU-AHD
Beechcraft E18S,Private Charter,N50JR
Cessna 310,Dunlap Aviation - Air Taxi,N3015C
Gates Lear 25,Lisa Jet Inc. - Air Taxi,N40LB
Convair 600,Texas International Airlines,N94230
Douglas DC-3A,Aeronorte,PT-CEV
Tupolev TU-104B,Aeroflot,CCCP-42506
Antonov AN-12V,Aeroflot,CCCP-12967
Britten-Norman BN-2A-7 Islander,Taxi AÃ©reo Cesar Aguiar,PT-DVN
NAMC YS-11A-211,VASP,PP-SMJ
Britten-Norman BN-2A-6 Islander,CATA,N37JA
Cessna 401A,Jack N. Boswick - Air Taxi,N6273Q
Handley Page HPR-7 Herald 101,Lineas AÃ©reas La Urraca,HK- 718
McDonnell Douglas DC-10-10,National Airlines,N60NA
Boeing B-707-321C,Pan American World Airways,N458PA
Douglas DC-3,Air Vietnam (South Vietnam),XV-NIE
Tupolev TU-104B,Aeroflot,CCCP-42503
de Havilland DH-125-400A,Churchill Falls Co.,CF- CFL
Douglas DC-118,Military - U.S. Navy,131615
Tupolev TU-124,Aeroflot,CCCP-45061
Boeing B-707-321B,Pan American World Airways,N407PA
Cessna 310L,Capitol Air Service - Air Taxi,N3269X
Convair CV-440,TAM (Bolivia),TAM-47
Boeing Vertol CH-47 (helilcopter),Military - Vietnamese Air Force,
Sud-Aviation Caravelle VI-N,Sobelair SA (Belgium),OO-SRD
Tupolev TU-124,Aeroflot,CCCP-45004
Douglas DC-3,Executive Funds,ZS-DAK
Fokker F-28 Fellowship 1000,Itavia,I-TIDE
Curtiss C-46F,Servicios AÃ©reos Boliviano,CP-990
Beechcraft 99A,Air East,N125AE
Antonov AN-24V,Aeroflot,CCCP-46357
Hawker Siddeley HS 748-260,Military - Colombian Air Force,FAC-1103
Douglas C-54,TAM (Bolivia),TAM-52
Douglas DC-3A,Cessnyca,HK-1216
Antonov An-24B,Aeroflot,CCCP-46277
Cessna 172L,Inland Aviation - Air Taxi,N7888G
Fokker F-28 Fellowship 1000,Turkish Airlines (THY),TC-JAO
Beechcraft J-35,Taos Airways - Air Taxi,N633Q
Piper PA-28,Theif River Aviation - Air Taxi,N5290S
Boeing B-707-321B,Pan American World Airways,N454PA
Boeing B-747,Pan American World Airways,N732PA
Transall C-160D,Military - West German Air Force,50-63
Brittonnorman BN-2A6,North Cay Air - Air Taxi,N864JA
MDonnell Dougals DC-9,Delta Air Lines,
Curtiss C-46A-45-CU,SAVCO,CP-1052
Lockheed C-130E Hercules,Military - Imperial Iranian Air Force,5-122
McDonnell Douglas DC-10-10,Turkish Airlines (THY),TC-JAV
Antonov An-24,Pathet Lao Airlines,
Robertson 414,Executive Air - Air Taxi,N8118Q
Convair CV-440,Sierra PacifiAirlines,N4819C
Aerospatiale Caravelle 10B3,Sterling Airways,OY-STK
Douglas DC-4,Wenela Air Services,A2-ZER
Beechcraft H18S,Island Air,N28358
Boeing B-707-321C,Pan American World Airways,N446PA
Ilyushin IL-18E,Aeroflot,CCCP-75405
Ilyushin IL-18B,Aeroflot,CCCP-75559
Beechcraft 99,Houston Metro Airlines,N853SA
Douglas C-47,Aero Taxis Equatorianos,HC-AUC
Douglas DC-6A,Fragtflug,TF-OAE
Lockheed L-100-30 Hercules,Saturn Airways,N14ST
Yakovlev YAK-40,Aeroflot,CCCP-87579
Bristol 170 Freighter 31E,Lambair,CF-QWJ
Vickers Viscount 785D,Aerolineas TAO,HK-1058
Boeing 307B-1 Stratoliner,Cambodia Air,XW-TFR
Fairchild Hiller FH1100,Alaska Helicopter - Air Taxi,N8679
Douglas DC-4,Aeronorte Colombia,HK-728
Fairchild C-123K,Air Amercia,ST-4
Douglas DC-3,Laurentian Air Services,C-FTAT
de Havilland Canada DHC-5 Buffalo,Military - Canadian Air Force,115461
Ilyushin IL-18B,Air  Mali,TZ-ABE
Douglas C-47-DL,AVIANCA,HK-508
de Havilland DHC-2,MerriAviation - Air Taxi,N7620
Vickers Viscount 749,Linea Aeropostal Venezolana,YV-C-AMX
Lockheed C-141A,Military - U.S. Air Force,65-0274
Lockheed C-130H,Military - Zairean Air Force,9T-TCD
Fokker F-27 Friendship 600,Garuda Indonesia Airlines,PK-GFJ
Boeing B-707-331B,Trans World Airlines,N8734
McDonnell Douglas DC-9-31,Eastern Air Lines,N8984E
Boeing B-727-121C,Air Vietnam (South Vietnam),XV-NJC
Piper PA-32,Riverside Air,N15528
Cessna 185,Frontier Flying Service - Air Taxi,N70026
Volpar 18,Winship Air Service,N357V
Britten-Norman BN-2A Islander,North Cay Airways,N864JA
Bell 205A,Evergreen Helicopter - Air Taxi,N2970W
Tupolev Tu-154,EgyptAir,SU-AXB
Lockheed WC-130H Hercules,Military - U.S. Air Force,65-0965
de Havilland DHC-2,Webber Airlines -Air Taxi,N129WA
Douglas DC-3,Mabuhay Airways,RP-C643
Cessna 172M,Deming Flying Service - Air Taxi,N20673
Piper PA-31,AltusFlying Service - Air Taxi,N979L
Cessna 337D,Henry Nichols - Air Taxi,N2HN
Piper PA-18,Willow Air Service - Air Taxi,N2580P
Lockheed L-100 Hercules,Alaska International Air,N102AK
Beechcraft 95-B55,Hlavka Aviation - Air Taxi,N414K
Lockheed 188PF Electra,Pan ArctiOil,C-FPAB
Britten-Norman BN-2A Islander,,OY-DVJ
de Havilland DHC-2,Southeast Sky - Air Taxi,N97702Z
Douglas C-47A-30,Orient Air System and Integrated Services,RP-C570
Douglas DC-3,Ethiopian Airlines,ET-AAR
Boeing B-747-130,Lufthansa,D-ABYB
Cessna 500 Citation I,Alpa Servicios AÃ©reos,EC-CGG
Boeing B-727-251,Northwest Orient Airlines,N274US
Boeing B-727-231,Trans World Airlines,N54328
McDonnell Douglas DC-8-55F,Martinair Holland NV,PH-MHB
Grumman G-21,Kodiak Airways,N1583V
Boeing Vertol CH-47 (helicopter),Military - Vietnamese Air Force,
Yakovlev 40,Aeroflot,CCCP-87630
McDonnell Douglas DC-9-14,Aerovias Venezolanas SA (Venezuela),YV-C-AVM
Brittonorman BN-2A,Harbor Airlines - Air Taxi,N66HA
Antonov AN-24RV,Tarom,YR-AMD
Tupolev TU-124,Aeroflot,CCCP-45037
Fairchild C-123K,Air America,ST-1
Cessna TU206D,Richland Flying Service - Air Taxii,N71972
de Havilland Canada DHC-6 Twin Otter 200,Military - Argentine Navy,AE-259
Douglas DC-3,SATENA,FAC-688
de Hav Can. DHC-6 Tw Otter 100/ Cessna,Golden West Airlines / Private,N6383
de Havilland DHC-2,Channel Flying Service - Air Taxi,N1944
Ilyushin IL-18V,Malev Hungarian Airlines,HA-MOH
Antonov AN-12,Aeroflot,
Fokker F-28 Fellowship 1000,Turkish Airlines (THY),TC-JAP
Douglas DC-3-313,Linea AÃ©rea Nacional,HI-222
Piper PA-31,Kenai Air Service - Air Taxi,N54734
Douglas DC-3C,Horizon Properties,N15HC
Hawker Siddeley HS-748 2,Philippine Air Lines,RP-C1028
Transall C-160,Military - Deutsche Luftwaffe,5063
Douglas DC-6BF,PacifiAlaska Airlines,N77DG
Canadair CL-44,Aerocondor,HK-1972
Embraer 110C Bandeirante,VASP,PP-SBE
Beechcraft 95,Burlington Air - Air Taxi,N2061C
Douglas DC-4,Air Vietnam (South Vietnam),XV-NUJ
Fokker F-27 Friendship 400M,Military - Argentine Air Force,TC-72
de Havilland Canada DHC-6 Twin Otter 100,Sudan Airways,ST-ADB
Lockheed C-141A (L.300),Military - U.S. Air Force,64-0641
Lockheed C-5A Galaxy,Military - U.S. Air Force,68-218
Cessna 310Q,Skips Air Service - Air Taxi,N7634Q
Bell 206,Gay Airways - Air Taxi,N59521
Douglas DC-3,SATENA,FAC- 663
Bristol 170 Freighter 21E,Air Express,VH-SJQ
Piper PA-23-250,Foster Aviation,N5067Y
Sikorsky CH-53C (helicopter),Military - U.S. Air Force,68-10933
BAC One-Eleven 524FF,Philippine Air Lines,RP-C1184
Hawker Siddeley HS-748-235 Srs. 2A,Varig,PP-VDN
Boeing B-727-225,Eastern Air Lines,N8845E
Beechcraft E18S,Hamilton Aviation,N791A
Douglas DC-4,Taxi Aereo El Venado,HK-1309
Beechcraft 99,Touraine Air Transport,F-BTQE
Douglas C-47A,Military - Chilian Air Force,FAC-970
Lockheed L-188AF Electra,Aerovias Condor,HK-1976
Piper PA-18,Homer Air Service - Air Taxi,N6817L
Bell 206B,Oceanaire Helicopter - Air Taxi,N58137
Yakovlev YAK-40,Aeroflot,CCCP-87475
Lockheed C-130A Hercules,Military - U.S. Air Force,57-0454
Vickers 837 Viscount,Far Eastern Air Transport,B-2029
Boeing B-707-321C,Alia Royal Jordanian Airlines,JY-AEE
Douglas DC-47,Military - Nicaraguan Air Force,412
Boeing B-727-224,Continental Airlines,N88777
Yakovlev YAK-40,Aeroflot,CCCP-87323
Ilyushin IL-62,Ceskoslovenske Aerolinie,OK-DBF
Piper PA-28,Portsmouth Aviation - Air Taxi,N44323
Douglas C-47,Military - Nicaraguan Air Force,412
Fairchild F-27B,Wien Air Alaska,N4904
Tupolev TU-134,Interflug,DM-SCD
Douglas C-47-DL,Ethiopian Airlines,ET-ABX
Fokker F-28 Fellowship 1000,Garuda Indonesia Airlines,PK-GVC
Tupolev TU-154B,Malev Hungarian Airlines,HA-LCI
de Havilland Canada DHC-6 Twin Otter 200,Northern Thunderbird Air,CF-MHU
Boeing 727-24C,AVIANCA,HK-1272
de Havilland DH114 Heron 2E,Connair,VH-CLS
Piper PA-34,Air Taxi,N1495X
Convair CV-440-12,TAM (Bolivia),TAM-44
McDonnell Douglas DC-9-32,Inex Adria Aviopromet,YU-AJO
Bell 212,Petroleum Helicopter,N90057
NA Rockwell 112,Quakertown Aviation - Air Taxi,N4QA
Douglas DC-3,Aviateca,TG-AGA
Antonov AN-24,Aeroflot,CCCP-46349
Yakovlev 40,Aeroflot,CCCP-87458
Antonov AN-24B,Balkan Bulgarian Airlines,LZ-ANA
Lockheed C-130 Hercules,Military - Israel  Air Force,11
Piper PA-23-250 Aztec,Private,N6645Y
Cessna 402,SceniAirline - Air Taxi,N52SA
Britten-Norman BN-2A-21 Islander,Philippine Aerotransport,RP-C2136
Mitsubishi MU-2B,Star Aviation,N133MA
Boeing B-720B-023B,Middle East Airlines,OD-AFT
Tupolev TU-124,Aeroflot,CCCP-45036
Lear Jet 24A,Winship Air,N651LJ
Piper PA-23,Orlando Airways - Air Taxi,N5258Y
Britten-Norman BN-2A-21 Islander,Philippine Aerotransport,RP-C2135
Douglas C-54A,Taxi Aereo el Venado,HK-172
Bellanca 17-30,Green Acres - Air Taxi,N7385V
Douglas C-47,Frigorifico Maniqui,CP- 573
Hawker Siddeley HS-748-246,TAME,FAE-683
Antonov AN-24,CAAC,B-492
Embraer 110C Bandeirante,Transbrasil,PT-TBD
Ilyushin IL-18V,Aeroflot,CCCP-75558
Beechcraft  C-45H,Falcon Airways - Air Taxi,N3329G
Douglas DC-6A,LAC Colombia,HK-1389
Boeing KC-135A,Military - U.S. Air Force,60-0368
Hughes 369HS,Temsco Helicopter - Air Taxi,N9172F
Douglas DC-6,Mercer Airlines,N901MA
Tupolev TU-104A,Aeroflot,CCCP-42327
Grumman G-21A seaplane,Antilles Air,N4772C
Ilyushin II-14P,Tarom,YR-ILO
IAI Arava 201,TAM (Bolivia),TAM-76
Ilyushin IL-18D,Aeroflot,CCCP-75408
Cessna 207,Kodiak Western Alaska Airlines,N91142
Cessna 172M,Sky Haven - Air Taxi,N1631V
Antonov An-24B,Cubana de Aviacion,CU-T879
Douglas DC-3,SATENA,FAC-676
Boeing B-727-81,Alaska Airlines,N124AS
Cessna 207,North Sound Aviation,N1645U
Beechcraft A36,Royal American - Air Taxi,N6061S
Hawker Siddeley HS-748 2,Yacimientos Petroliferos Fiscales,LV-HHB
Beech B60,Chartair - Air Taxi,N37D
Bell 205 A-1 helicopter,Petroleum Helicopter,N8167J
Cessna 207,Frontier Flying Service - Air Taxi,N1707U
Boeing B-727-95,American Airlines,N1963
de Havilland Canada DHC-6 Twin Otter 300,de Havilland Aircraft,C-GDHA
Britten-Norman BN-2A-21 Islander,Philippine Aerotransport,RP-C2140
NAMC YS-11A-500,OlympiAirways,SX-BBR
Boeing B-747-131F,Military - Imperial Iranian Air Force,5-283
Antonov AN-24,Aeroflot,CCCP-46534
Piper PA-34,Lab Flying Service - Air Taxi,N55951
BAC One-Eleven 527FK,Philippine Air Lines,RP-C1161
Tupolev TU-154A,Aeroflot,CCCP-85102
Lockheed 188A Electra,Air Manila,RP-C1061
GAF Nomad N-22B,Sabah Air,9M-ATZ
Bell 47G3B1,Sky Chopper  - Air Taxi,N7894S
Airbus A300,Air France,F-BVGG
Douglas C-47,Military - Burma Air Force,
Piper PA-28R,Reed Aviation - Air Taxi,N7941C
Piper PA-34,Capitol Air Service - Air Taxi,N56712
Ilyushin IL-18L,Ceskoslovenske Aerolinie,OK-NAB
Beechcraft S35,Mamer - Shreck  - Air Taxi,N8681Q
Boeing 707-373,Korean Airlines,HL7412
Douglas C-54E,Military - Spanish Air Force,T4/11-352
Vickers Viscount 785D,SAETA,HC-ARS
Cessna 185,Green River Aviation - Air Taxi,N9924X
Canadair CL-44,Aeroperu,OB-R-1104
Lockheed C-141A (L.300),Military - U.S. Air Force,67-0008
Lockheed C-141A (L.300),Military - U.S. Air Force,67-0006
Sud Aviation SE 210 Caravelle III,Air France,F-BSGZ
Lockheed C-130H,Military - Venezuelan Air Force,7772
de Havilland Canada DHC-3 Otter,Austin Airways,CF-MIT
Antonov AN-24 / Yakovlev Yak-40,Aeroflot / Aeroflot,46518/87772
McDonnell Douglas DC-9-31 / Trident 3B,Inex Adria Aviopromet / British Airways,YU-AJR/G-AWZT
Boeing B-727-2F2,Turkish Airlines (THY),TC-JBH
de Havilland Canada DHC-6 Twin Otter 100,Air West Airlines Ltd.,C-FAWF
Sikorsky S-55B,Loma Linda University - Air Taxi,N9389
Boeing KC-135A,Military - U.S. Air Force,61-0296
Douglas DC-7CF,Emirates Air Transport,TZ-ARC
McDonnell Douglas DC-8-43,Cubana de Aviacion,CU-T1201
Piper PA-34,Aero National - Air Taxi,N15025
Sud-Aviation Caravelle VI-N,Indian Airlines,VT-DWN
Boeing B-707-31,Lloyd AÃ©reo Boliviano,N730JP
Piper PA-31,Skyline Aviation - Air Taxi,N61436
Douglas C-47DL,Taxi Aereo el Venado,HK-149
Embraer 110C Bandeirante,Nordeste Linhas AÃ©reas,PT-TBA
Fokker F-27 Friendship 100,Bali International Air Service,PK-KFR
Douglas DC-3,Inair Panama,HP-671
Piper PA-31T,Aeroleasing - Air Taxi,HB-LHT
L-100-20,PacifiWestern Airlines,C-FPWX
Tupolev TU-104B,Aeroflot,CCCP-42471
Piper PA-32-300,Grand Canyon Air - Air Taxi,N4125R
de Havilland Canada DHC-6 Twin Otter 300,AtlantiCity Airlines,N101AC
Antonov AN-24RV,Aeroflot,CCCP-46672
Boeing B-707-366C,EgyptAir,SU-AXA
Piper PA-23-250,Valley Air Service - Air Taxi,N4573P
Douglas C-54A-1-DO,Faucett,OB-R-247
Gates Learjet 24B,Jet Avia Charter,N12MK
Tupolev TU-104A,Aeroflot,CCCP-42369
Douglas DC-8,Japan Air Lines,JA8054
de Havilland Canada DHC-6 Twin Otter 300,Northern Thunderbird Air Ltd.,C-GNTB
Vickers Viscount 838,Skyline Sweden,SE-FOZ
Bristol 170 Freighter 31M,North Canada Air,C-FWAD
Fairchild C-82,Transportes AÃ©reos Itenez,CP-983
Avia 14T,CeskoslovenskÃ© Aerolinie,OK-OCA
Ilyushin IL-18V,Aeroflot,CCCP-75520
Douglas DC-3,Survair,C-FNAR
Douglas DC-3,Alyemda,7O-ABF
Lockheed C-130H,Military - Italian Air Force,MM61995
McDonnell Douglas DC-8-63CF,Overseas National Airways,N8635
Lockheed L-188AF Electra,Fleming International Airways,N280F
Pipper PA-23-250 Aztec,Private,C-GNLL
Boeing B-747-121 / Boeing B-747-206B,Pan American World Airways / KLM,N736PA/PH-BUF
de Havilland Canada DHC-6 Twin Otter 300,Merpati Nusantara Airlines,PK-NUP
Yakovlev YAK-40,Aeroflot,CCCP-87738
McDonnell Douglas DC-9-31,Southern Airways,N1335U
Douglas DC-3-3A,Taxi Aereo el Venado,HK-556
Antonov An-24,Military - Soviet Air Force,
Convair CV-440,Aviateca,TG-ACA
Sikorsky CH-53D (helicopter),Military - Israel Air Force,360
Antonov An-12BP,LOT Polish Airlines,SP-LZA
Boeing 707-321C,IAS Cargo,G-BEBP
Sikorsky S61L,New  York Helicopter,N619PA
Ilyushin IL-62M,Aeroflot,CCCP-86614
Cessna 185,Intracostals - Air Taxi,N3345L
Embraer C-95 Bandeirante,Military - Brazilian Air Force,FAB2157
Embraer 110C Bandeirante,Fuerza AÃ©rea Uruguaya,CX-BJE
Lockheed EC-130Q,Military - U.S. Navy,156176
Antonov AN-24,Aeroflot,CCCP-46847
Antonov AN-26,Military - Angolan Air Force,
Douglas DC-3,Ethiopian Airlines,ET-ABF
Britten-Norman BN-2A-6 Islander,Harold's Air Service,N22JA
Douglas DC-6B,Military - Chilean Air Force,FAC-989
Douglas C-47,Military - Honduran Air Force,FAH-301
Piper PA-32R,Gaige Aviation - Air Taxi,N9228K
Bell 206B JetRanger,Private KNBC Los Angeles,N4TV
de Havilland Canada DHC-6 Twin Otter 200,LADE,T-87
Cessna U206,Southwest Aviation - Air Taxi,N8062Z
Beechcraft 58,Rambar Aviation - Air Taxi,N9265Q
Convair CV-880,Monarch Aviation,N8817E
Bell 206B,Kenai Air Service - Air Taxi,N59382
Shorts SC-7 Skyvan 3-200,Island Airways,N4917
Canadair CL-44D4-2,Transmeridian Air Cargo,G-ATZH
Helo 295,Wright Air Service - Air Taxi,N99798
Vickers Viscount 764D,Servicios Aereos Nacionales Airways,HC-BCL
de Havilland Canada DHC-6 Twin Otter 200,Alaska Aeronautical Industries,N563MA
de Havilland Canada DHC-6 Twin Otter 300,Burma Airways,XY-AEH
Douglas DC-7BF,Safe Air Cargo,N6314J
Boeing - EC-135K,Military - U.S. Air Force,62-3536
Tupolev TU-134,Malev Hungarian Airlines,HA-LBC
Cessna U206,Salida Flying Service - Air Taxi,N1452M
McDonnell Douglas DC-8-62H,Japan Air Lines,JA-8051
de Havilland DHC-2,Kenmore Air  - Air Taxi,N64391
Bell 206B,Air Logistics,N157AL
Convair CV-300,L & J Company,N55VM
Sikorksky CH-53 (helicopter),Military - U.S. Marine Corps,157139
Boeing B-747,El Al,
Britten-Norman BN-2A-8 Trislander,Servicios Aereos Martinez Leon,XA-FUA
Boeing B-727-282,TAP (Air Portugal),CS-TBR
Boeing 707-360C,Ethiopian Airlines,ET-ACD
Britten-Norman BN-2A-8 Islander,Munz Northern Airlines,N36MN
BAC One-Eleven 420EL,Austral Lineas Aeras (Argentina),LV-JGY
Nord 2501 Noratlas,Military - French Air Force,182
Beechcraft 58,Resort Air Service - Air Taxi,N4461S
Tupolev TU-154B,Balkan Bulgarian Airlines,LZ-BTN
Boeing B-737-2H6,Malaysia Airlines,9M-MBD
SNIAS SA330J,Petroleum Helicopter,N4730S
Antonov AN-24,Aeroflot,CCCP-47695
Lockheed P-3B Orion,Military - U.S. Navy,153428
Douglas DC-3,National Jet Services Inc.,  (Air Indiana),N51071
Piper PA-34,Straley Flying Service - Air Taxi,N1634H
Aerospatiale Caravelle 10R,SATA,HB-ICK
Douglas DC-8-54F,United Air Lines,N8047U
Britten-Norman BN-2A Islander,Vieques Air Link,N862JA
de Havilland Canada DHC-6 Twin Otter 300,Kenn Borek Air,CF-ABW
Piper PA-28R,Aviation Charter - Air Taxi,N116MM
Piper PA-31-350 Navajo,Valley Air Service,
Vickers Viscount 764 D,Servicios Aereos Nacionales,HC-BEM
Boeing B-747-237B,Air India,VT-EBD
Cessna 337G,Aviation Charter - Air Taxi,N719047
Aerostar 601P,Henry Webber Air - Air Taxi,N1BE
Douglas DC-3,SADELCA,HK-1351X
Embraer 110P Bandeirante,TABA,PT-GKW
Douglas C-47A-DL,Military - Uruguayan Air Force,T511
Beechcraft 99,Columbia PacifiAirlines,N199EA
Boeing B-737-275,PacifiWestern Airlines,C-FPWC
Beechcraft 58,Chartair - Air Taxi,N4307W
Evangel 4500,Yute Air Alaska - Air Taxi,N4508L
Aero Commander 500A,Security Air,N6143X
McDonnell Douglas DC-10-10,Continental Airlines,N68045
Cessna 337F,Island Air,N101SX
Fokker F-28 Fellowship 1000 / MiG-21,Nigeria Airways,5N-ANA / 
British Aerospace 748 2A,LAV - Linea Aeropostal Venezolana,YV-45C
Cessna 310I,Hesler Noble - Air Taxi,N8114M
Beechcraft D18,Wyman Pilot Service - Air Taxi,N427Q
Tupolev TU-134,Balkan Bulgarian Airlines,LZ-TUB
Cessna T207A,Lake Havasu Air,N7354U
Fokker F-27 Friendship 200,Burma Airways,XY-ADK
Piper Cherokee Arrow  PA-28,Aero Clube de Volta Redonda,PT - CIH
Bell 212,Air Logistics,N140AL
Grumman G-21,Antilles Air,N877A
Boeing B-707-321B,Korean Airlines,HL-7429
Piper PA-31,Air Taxi,N49MC
Cessna 402B,South PacifiIsland Airways,N3SP
Douglas C-118A,LAC Colombia,HK-1705
de Havilland DHC-2,Alaska Travel,N37741
Boeing B-727-235,National Airlines,N4744
PS-1 amphibious ASW,Military - Japan Maritime Self Defense Force,
Tupolev TU-154B,Aeroflot,CCCP-85169
Beech Queen Air A80,Gander Aviation,C-GGAL
McDonnell Douglas DC-9-32,Air Canada,C-FTLV
Sikorsky S-61N,Helikopter Service,LN-OQS
Britten Norman BN-2A Trislander Mk.III-2,Amphibians,5Y-CMC
Curtiss C-46,Aeropeca,HK-1350
Grumman G-21 Goose,Webber Air - Air Taxi,N1045
Mitsubishi MU-2J,Air Taxi,N178MA
de Havilland Canada DHC-6 Twin Otter 300,Burma Airways,XY-AEI
Piper PA-31-350 Chieftain,Las Vegas Airlines,N44LV
Grumman G-21A,Antillies Air - Air Taxi,N7777V
de havilland Canada Twin Otter 200,AirWest Airlines,C-FAIV
Ilyushin IL-18,Air Guinee,3X-GAX
Vickers Viscount 782D,Air Rhodesia,VP-WAS
Piper PA-31,Air Taxi,N26AN
de Havilland Canada DHC-6 Twin Otter 100,Lineas Areas del Centro,XA-BOP
Soloy 12EJ3,Temesco Helicopter - Air Taxi,N5384V
Fokker F-27 Friendship 200,Military - Philippine Air Force,PH-FKY
Cessna 411,Viking Air Service - Air Taxi,N1EC
Cessna 310N,Business Aircraft - Air Taxi,N4121Q
Boeing B-727-214 / Cessna 172,PacifiSouthwest Airlines / Private,N533PS/N7711G
Beech D18AS,Francisco Cruz,N500L
Douglas C-47A-1-DK,Military - Finish Air Force,DO-10
Fokker F-27 Friendship 600,Burma Airways,XY-ADY
Yakovlev YAK-40,Aeroflot,CCCP-87437
Bell 205-1,Era Helicopter - Air Taxi,N2215W
Britten Norman BN-2A Trislander,Solomon Islands Airlines,H4-AAC
Antonov AN-24B,Aeroflot,CCCP-46327
Beechcraft 65-80,Don Zimmerman - Air Taxi,N866G
Cessna 402,Taxi AÃ©reo Kovacs,PT-JXL
Douglas DC-3,Nile Delta Air Services,SU-AZM
Cessna 310J,Astrd Wing Aviaiton - Air Taxi,N310BJ
McDonnell Douglas DC-8-Super 63CF,Loftleidir IcelandiAirlines,TF-FLA
Beechcraft G18S,Festus Flying Service - Air Taxi,N910PC
de Havilland Canada DHC-6 Twin Otter 300,Air Guadeloupe,F-OGHD
Antonov An-12,Military - Indian Air Force,
Douglas C-47A,Taxi Aereo el Venado,HK-1393
de Havilland DHC-2,Tyee Airlines - Air Taxi,N37906
Aerostar 601P,Corporate Air - Air Taxi,N8999A
de Havilland Canada DHC-6 Twin Otter 300,Rocky Mountain Airways,N25RM
Cessna 421 Golden Eagle,Air 70,I-ASON
Boeing B-737-2A8,Indian Airlines,VT-EAL
Cessna 210L,Galesburg Aviation - Air Taxi,N4638Q
Cessna 207,Chugiak Aviation - Air Taxi,N7378U
McDonnell Douglas DC-9-32,Alitalia,I-DIKQ
Britten Norman BN-2A Islander,HaÃ¯ti Air Inter,HH-CNB
McDonnell Douglas DC-8-61,United Air Lines,N8082U
Piper PA-31,Nash and Tampo - Air Taxi,N33TN
Antonov AN-24N,Aeroflot,CCCP46807
Let 410M,Aeroflot,CCCP-67210
Aerostar 601,L.J. Simmons - Air Taxi,N7437S
Nord 262A-44,Air Algerie,7T-VSU
Fokker F-27 Friendship 500,Air Rouergue,F-BYAH
Antonov 2PF,Aeropol,SP-TBB
Embraer 110C Bandeirante,TAM Lineas AÃ©reas Regional,PP-SBB
Nord 262,Allegheny Airlines,N29824
Vickers Viscount 748D,Air Rhodesia,VP-YND
Fokker F-27 Friendship 500,Air New Zealand,ZK-NFC
Douglas DC-3,Ethiopian Airlines,ET-AFW
Douglas DC-6B,Air Gabon,TR-LXN
Beech 58,Air Service - Air Taxi,N2055K
Beech BE-70,Universal Airways,N777AE
Cessna 310B,Agee Flying Service - Air Taxi,N5384A
Fokker F-28 Fellowship 1000,Garuda Indonesia Airlines,PK-GVP
Aerospatiale Nord 262A-33,Swift Aire Lines Inc.,N418SA
Boeing B-727-2D3,Alia Royal Jordanian Airlines,JY-ADU
Hawker Siddeley Trident 2E,CAAC,B-274
Tupolev TU-104B,Aeroflot,CCCP-42444
Yakovlev YAK-40,Aeroflot,CCCP-78390
Tupolev 134A,Aeroflot,CCCP-65031
Cessna U206,Village Aviation - Air Taxi,N733CT
Ilyushin IL-18D,Interflug,DM-STL
Fairchild F-27,Quebecair,CF-QBL
Piper PA-32RT-300,SW Air Rangers - Air Taxi,N6309C
Grumman G-21 Goose,Catalina Airlines,N11CS
Sikorsky S61-L,New York Airways,N618PA
Vickers Viscount 785D,SAETA,HC-AVP
Antonov AN-26,Aeroflot,CCCP-26569
McDonnell Douglas DC-10-10,American Airlines,N110AA
Cessna 185,Ambler Air Service,N1690Z
de Havilland Canada DHC-4A Caribou,Sea Airmotive,N581PA
de Havilland Canada DHC-5D Buffalo,Military - Mauritanian Air Force,5T-MAX
de Havilland DHC-6-200,Downeast Airlines,N68DE
Hindustan Aeronautics 748-2M,Military - Indian Air Force,H2178
Beechcraft 99,Skystream Airlines,N454SA
de Havilland Canada DHC-6 Twin Otter 300,Air New England,N383EX
Fokker F-28 Fellowship 1000,Garuda Indonesia Airlines,PK-GVE
Cessna 402B,Soldotna Air Services,N402TH
Britten Norman BN-2A Trislander,Fiji Air Services,DQ-FBO
Douglas C-47B,Trans National Airlines,N63250
Boeing 707-327C,Trans Mediterranean Airways,OD-AFX
de Havilland DH-114 Heron,Prinair,N575PR
Hawker Siddeley HS-748-1,Dan Air Services,G-BEKF
Cessna  501 Citation,Private,N15NY
LET 410M turbojet,Aeroflot,CCCP-67206
Hindustan Aeronautics 748 2-224,Indian Airlines,VT-DXJ
Cessna T210M,Boise Air Service,N6286B
Beechcraft D55,Southern Jersey Air - Air Taxi,N105AC
Learjet 35,Bahri Aviation,N711AF
Tupolev TU-134A / Tupolev Tu-134A,Aeroflot / Aeroflot,65735/65816
Hawker Siddeley HS-748,SATENA,FAC-1101
Antonov AN-12,Aeroflot,CCCP-12963
Tupolev TU-124,Aeroflot,CCCP-45038
de Havilland Canada DHC-6 Twin Otter 300,Bradley Air Services,C-GROW
Antonov AN-24,Aeroflot,CCCP-46269
Aerospatiale Corvette,Sterling Airways,OY-SBS
Boeing 707-324C,China Airlines (Taiwan),B-1834
Douglas DC-7,Butler Aviation Inc.,N455SW
McDonnell Douglas DC-9-32,Aero Transporti Italiani,I-ATJC
Britten Norman BN-7A lslander,PacifiCoastal Airlines,C-FZVV
Boeing KC-135A,Military - U.S. Air Force,58-0127
de Havilland Canada DHC-6 Twin Otter 200,West Coast Air,C-FWAF
