index;cn/In
1777;4310
1778;17611/49
1779;17920/159
1780;21604
1781;18247/274
1782;
1783;86601301
1784;
1785;45631/160
1786;42918
1787;20289
1788;4647
1789;6464
1790;13394
1791;402003
1792;11769
1793;6216
1794;45273/121
1795;4551
1796;25839
1797;86601103
1798;
1799;2463
1800;90807103
1801;18127
1802;20230
1803;12142
1804;4827
1805;218
1806;10191
1807;25086
1808;125
1809;21703
1810;16074/3282
1811;444
1812;128
1813;10773
1814;180002002
1815;107
1816;17906/129
1817;45084/711
1818;4697
1819;2047
1820;4810
1821;395
1822;
1823;103
1824;18339
1825;2001
1826;
1827;
1828;6
1829;6
1830;22380
1831;356
1832;
1833;244
1834;4851
1835;402104
1836;18354/224
1837;454448/944
1838;16115/32863
1839;24-2144
1840;1218
1841;43547/204
1842;6461
1843;
1844;195
1845;16477/33225
1846;149
1847;45479/996
1848;159
1849;
1850;45209/861
1851;20265
1852;9877
1853;14803072
1854;19461
1855;
1856;246
1857;15444/26889
1858;14140
1859;15204/26889
1860;21605
1861;12813
1862;22510
1863;6441
1864;1528
1865;39
1866;22391
1867;14026
1868;2350701
1869;18226/18229
1870;147
1871;216
1872;192
1873;45167
1874;13915
1875;3
1876;
1877;6341301
1878;4
1879;9799
1880;45654/179
1881;26571
1882;17588/3
1883;10424
1884;213
1885;45536
1886;14713/26158
1887;
1888;12319
1889;A-811
1890;19024
1891;
1892;
1893;
1894;14944/2638
1895;
1896;
1897;45428/61
1898;53
1899;13423
1900;2025
1901;12374
1902;4970
1903;18379
1904;9642
1905;
1906;328
1907;10315
1908;15530/26975
1909;023/21
1910;
1911;36
1912;
1913;
1914;
1915;68
1916;4649
1917;
1918;12899
1919;
1920;
1921;20072
1922;
1923;92
1924;17685/123
1925;103
1926;
1927;44860/616
1928;
1929;
1930;
1931;13371
1932;180002402
1933;66
1934;
1935;19680
1936;44062/384
1937;2562
1938;146000926
1939;
1940;
1941;
1942;29
1943;185-5075
1944;
1945;18384
1946;
1947;7375
1948;
1949;20396
1950;14541/25986
1951;4812
1952;
1953;30328
1954;
1955;
1956;17513
1957;
1958;43967
1959;26810
1960;45513/1004
1961;45455/981
1962;127
1963;4436
1964;
1965;3808
1966;4892
1967;2350803
1968;160
1969;4753
1970;18
1971;12089
1972;388
1973;
1974;170
1975;15762/27207
1976;
1977;45369/984
1978;4550
1979;18379
1980;
1981;18148
1982;18336
1983;17609/25
1984;10279
1985;
1986;
1987;43844/334
1988;4409
1989;
1990;
1991;
1992;10826
1993;30571
1994;18328/146
1995;249
1996;3693
1997;
1998;1926
1999;12000
2000;17009/34272
2001;20301
2002;17586/1
2003;
2004;6182
2005;19431
2006;1996
2007;13403
2008;708
2009;20876
2010;
2011;4402
2012;18901/153
2013;5351801
2014;18322/130
2015;
2016;23-063
2017;4848
2018;18387/286  / 4526
2019;33215
2020;13474
2021;20260
2022;
2023;18
2024;
2025;13463 / 19719
2026;18325
2027;
2028;18055/200
2029;20151
2030;
2031;464
2032;18822/126
2033;10271
2034;
2035;130
2036;43829/351
2037;45761/237
2038;
2039;17706/113
2040;
2041;B-32
2042;45504/1009
2043;57302009
2044;22473
2045;
2046;185-5141
2047;20156
2048;1136
2049;2521
2050;
2051;
2052;17515/124
2053;
2054;2941
2055;1962
2056;
2057;20573
2058;45751/231
2059;
2060;33457
2061;70
2062;18428005
2063;45652/176
2064;
2065;
2066;
2067;22534
2068;1114
2069;12903
2070;134
2071;19410
2072;416
2073;42929
2074;45794/52
2075;209
2076;2041
2077;27307905
2078;
2079;
2080;
2081;4413
2082;2023
2083;18995/221
2084;14170
2085;4284
2086;184007101/356
2087;
2088;CV429
2089;1270805
2090;1002
2091;31
2092;19630
2093;
2094;22417
2095;
2096;
2097;10359
2098;33559
2099;190
2100;
2101;
2102;401504
2103;355
2104;
2105;2021
2106;42894/56
2107;10147
2108;45253/5
2109;23
2110;4
2111;45777/80 / 
2112;33262
2113;73
2114;30
2115;317
2116;
2117;
2118;45409/19
2119;
2120;
2121;
2122;
2123;3065
2124;4118
2125;13232
2126;4364
2127;4631
2128;10306
2129;185-5078
2130;
2131;
2132;4470
2133;30200
2134;45653/178
2135;10279
2136;153
2137;3534
2138;15235/26680
2139;13076
2140;3260
2141;
2142;4040
2143;3591
2144;176
2145;4849
2146;98
2147;
2148;
2149;025/24
2150;10285
2151;42991
2152;18295/4 / 
2153;
2154;
2155;
2156;
2157;20070
2158;187009705
2159;
2160;3692
2161;
2162;6449
2163;
2164;
2165;
2166;202/204
2167;22-00-37
2168;17669/43
2169;184007002
2170;22-00-27
2171;
2172;
2173;
2174;
2175;10284
2176;BA-623
2177;
2178;
2179;
2180;19202
2181;9189
2182;67302909
2183;
2184;
2185;
2186;
2187;10427
2188;
2189;185-5114
2190;17771/241
2191;14040
2192;185-5237
2193;17698/44
2194;24003
2195;19175/339
2196;
2197;26696
2198;187010601
2199;19724
2200;20039
2201;19
2202;43748/314
2203;
2204;
2205;178
2206;45772/30
2207;
2208;185-5241
2209;18373
2210;6330
2211;
2212;7339
2213;
2214;
2215;19705
2216;183006804
2217;
2218;
2219;1099
2220;6788
2221;3600
2222;
2223;
2224;30/10/2003
2225;
2226;18790/394
2227;503
2228;
2229;
2230;20082
2231;5211
2232;
2233;219
2234;19211/518
2235;33481
2236;33445
2237;43588
2238;
2239;45630
2240;176 / 
2241;394
2242;557
2243;10356
2244;
2245;67302806
2246;1580
2247;
2248;199
2249;187009101
2250;
2251;244
2252;17249/16
2253;10445
2254;
2255;213
2256;
2257;
2258;14
2259;
2260;805120
2261;4100
2262;13764
2263;
2264;517
2265;
2266;45954
2267;148
2268;22265
2269;
2270;49
2271;
2272;
2273;19696/688
2274;410
2275;4229
2276;
2277;
2278;369
2279;4035
2280;3
2281;45
2282;20554
2283;12541
2284;
2285;19690/540
2286;386
2287;
2288;45822
2289;20415
2290;19891/631
2291;4151
2292;
2293;4151
2294;6320
2295;157
2296;14125
2297;47243/448
2298;
2299;188011301
2300;1946
2301;22445
2302;67302406
2303;
2304;271
2305;4318
2306;
2307;
2308;10214
2309;9407
2310;4489
2311;4280
2312;13783/25228
2313;
2314;22456
2315;9629
2316;10363
2317;19256/355
2318;
2319;18477
2320;U-106
2321;
2322;U16
2323;42956
2324;
2325;175
2326;
2327;826
2328;18712/373
2329;073/73
2330;
2331;4828
2332;
2333;596
2334;15777/27222
2335;
2336;18459/335
2337;402807
2338;55299
2339;
2340;4491
2341;
2342;47211/357 / 
2343;92
2344;15618/27063
2345;440
2346;10860
2347;19255/331
2348;43273
2349;
2350;
2351;
2352;15383/26828
2353;
2354;402406
2355;531
2356;804
2357;45540/1016
2358;
2359;
2360;44694
2361;13529
2362;
2363;30/10/1932
2364;
2365;16964
2366;10591
2367;
2368;71
2369;1965
2370;59900202
2371;
2372;5351706
2373;1539
2374;77303310
2375;182004303
2376;41
2377;4544
2378;47500/546
2379;
2380;9780
2381;301015
2382;205
2383;556
2384;5508
2385;
2386;
2387;032/33
2388;79901204
2389;
2390;3012
2391;1643
2392;10948
2393;6
2394;47407/457
2395;5221
2396;379
2397;10311
2398;23-046
2399;
2400;254
2401;14009
2402;14116
2403;96601803
2404;10246
2405;10411
2406;6156
2407;6415
2408;46114/526
2409;9340207
2410;
2411;46005/412
2412;
2413;185-5129
2414;10163
2415;1106
2416;2110
2417;
2418;10336
2419;111
2420;1350502
2421;9910503
2422;45951/414
2423;87
2424;
2425;10356
2426;3251
2427;7345003
2428;14151
2429;4025
2430;
2431;16660/33408
2432;4221
2433;
2434;33060
2435;47245/510
2436;
2437;46060/472
2438;20236
2439;
2440;36
2441;12103
2442;130
2443;9340205
2444;20240
2445;10330
2446;2
2447;181003603
2448;6439
2449;19345 / 
2450;186009002
2451;44
2452;
2453;5343610
2454;LA-093
2455;10428
2456;94
2457;347403
2458;
2459;26683
2460;20363
2461;19439
2462;8400701
2463;13136
2464;
2465;
2466;
2467;4285
2468;121
2469;
2470;1351205
2471;25177/25181/25182
2472;491-161
2473;181992903
2474;10238
2475;47441/503 / 
2476;384
2477;18238
2478;43043/83
2479;4642
2480;2134
2481;
2482;20505
2483;
2484;820202
2485;20436/788
2486;19639/2
2487;
2488;
2489;
2490;
2491;31-422
2492;512
2493;19304/287
2494;207
2495;
2496;9334
2497;9350801
2498;4977
2499;706
2500;21603
2501;
2502;
2503;19348
2504;BA-211
2505;
2506;U-44
2507;4243
2508;448
2509;67302306
2510;122
2511;
2512;57301801
2513;47166/265 / 
2514;
2515;185008104
2516;1086
2517;1598
2518;163
2519;
2520;47213/358
2521;442
2522;
2523;47482/592
2524;43126/132
2525;51
2526;
2527;75
2528;43126
2529;
2530;3775
2531;
2532;
2533;541
2534;17793/263
2535;267
2536;47503/587
2537;3071
2538;22577
2539;2059
2540;10251
2541;
2542;881
2543;17102/34369
