Type
Wright Flyer III
Dirigible
Vickers 616 Viking 1B
Junkers JU-5/-3m
de Havilland DH106 Comet 1
Vickers Valetta T-3
Convair CV-240-4
Douglas C-124A Globemaster II
Douglas DC-6A
Fairchild R4Q-2
Ilyushin IL-12
Avro 685 York C-1
Lockheed L- 749A Constellation
Boeing B-34
Convair CV-240-12
Douglas C-46A-CU ( DC-3)
Avro Shackleton MR-2
Convair CV-240
Vickers Valetta
F-88 Sabre Jet
Douglas DC-3 (C-47A-DK)
Curtiss-Wright C46D-CU
Lockheed 749A-79-33 Constellation
Fairchild C-110F
Canadair C-4-1Argonaut / Harvard Mark II
Douglas C-47A-30-DK
Lockheed C-28
Lockheed 749A-79 Constellation
Bristol 170 Freighter 21E
Lockheed 1049C-55-81 S Constellation
Vickers 634 Viking
Lockheed R7V-1
Lockheed R-7V1
Vickers 720 Viscount
Boeing B377-10-28 Stratocruiser
Ilyushin 14
Avro Shackleton M-2 / Avro Shakleton M-2
Martin 202A / DC-3
Convair CV-340
Consolidated PBY-5 Catalina
Martin 404
Douglas R6D-1 (C-118B)
Boeing 377 Stratocruiser 10-26
Convair CV-340-32
Fairchild C119G / Fairchild C119G
Bristol 170 Freighter 31
Canadair C-4
Douglas C54A
Convair CV-340-58
Douglas MC-54M
Douglas C124-DL Globemaster II
Boeing RB-52B
Lockheed 749C-79-12 Constellation
Douglas R5D2
Boeing 377 Stratocruiser 10-30
Aero Commander  520
CF-100 Mark V
Lockheed 1049E-55 Super Constellation
Canadair C-4 Argonaut
Douglas DC-7 / Lockheed S Constellation
Vickers Viscount
Douglas C-118A
Curtiss C-46A-45-CU
Douglas DC-3 / Cessna 170B
Stinson AT-19
Douglas C188-B
Boeing  377 Stratocruiser
Handley Page HP-1 Hermes
de Havilland DH-114 Heron 2B
Douglas C-54A-10-DC
Ilyushin IL-12B
Lockheed 749-79-34 Constellation
Canadair DC-4M-2 Northstar
Vickers 708 Viscount
Lockheed C-121C Super Constellation
Vickers 615 Viking 1B
SNCASE SE.2010 Armagnac
Douglas DC-7B / U.S. Air Force F-89J
Douglas C-124C
Blackburn Beverley C Mark 1
Vickers Viscount 701
Douglas C-47 Skytrain
Boeing C-97C
Consolidated B-24J
Vickers Valetta C-Mk.1
Lockheed Super Constellation
Vickers Viking 1B
Ilyushin P-14
Lockheed 1049C Super Constellation
Ilyushin IL-14P
Convair CV-440-62
de Havilland DH-114 Heron
Vickers 802 Viscount
Fairchild C-82A
Bristol Britannia 175
Boeing - 377-10-29 Stratocruiser
de Havilland DH-114 Heron 2D
Short Solent 3 (flying boat)
de Havilland Canada DHC-3 Otter
Lockheed WV-2
Douglas C-118A / Lockheed P2V-5F
Airspeed Ambassador A5-57
Consolidated PBY-5A  Catalina
Fairchild R4Q / Dougas AD-6 skyraider
Douglas DC-7-C
Douglas C-124C / Fairchild C-119C
Vickers Viscount 745D
Douglas DC-7 / F-100F
Douglas DC-7C
Vickers Viscount 745D / T-33A
Convair CV-440-59
Boeing KC-135A
Vickers Viscount 748D
Lockheed 1049H Super Constellation
Convair CV-240-2
Tupolev TU-104-A
Lockheed C-130A-II Hercules
Vickers 621 Viking 1
Douglas C-124C Globemaster
Curtiss C-46A-CU
Boeing B-52 / Boeing B-52
Lockheed L-1049H Super Constellation
Lockheed C-130A Hercules
Fairchild C-123 Provider
Lockheed 1049E Super Constellation
Tupolev TU-104A
Lockheed WV-2 Super Constellation
Vickers Viscount 701C
Vickers Viscount 755D
Martin Mariner
Bristol 175 Britannia 312
Saab Scandia
Lockheed 1049G Super Constellation
Avro 688
Beechcraft Bonanza 35
Lockheed  188A Electra
Vickers Viscount 794D
Vickers Viscount 763
Nord 2501 Noratlas
Avro 688 Super Trader
Lockheed C-69 Constellation
Lockheed 1649A Starliner
North American F-100D-25NA
Vickers 815 Viscount
Boeing 707-123
de Havilland DH-106 Comet 4
Saab Scandia 90A-1
Lockheed 188A Electra
Douglas DC-7B
Antonov AN-10
Ilyushin IL-18
Vickers 785D Viscount
Vickers Viscount 827 / Fokker AT-6
de Havilland Canada U-1A Otter
Sud Aviation Caravelle 1
Ilyushin IL-18B
Douglas DC-3 / USN R-6D-1
Lockheed 188C Electra
Curtiss C-46A-40-CU
Fairchild F-27 / Cessna 310
Convair CV-880
Fokker F-27 Friendship 100
Lockheed 749A-79-32 Constellation
Convair CV-340-62
Goodyear ZPG-3W 
Fairchild C-119G
Sikorsky S-58C helicopter
Avro Lancaster 1
Vickers 634 Viking 1B
Douglas DC-6AB
Vickers Viscount 837
Douglas DC-3 (C-53-DO)
Vickers Viscount 739B
de Havilland DH-114 Heron 2
Douglas C-54A-DC
Fairchild F-27A
Curtiss C-46A-60-CK
Avro 691 Lancastrian IV
Douglas C-124A-DL
MD DC-8-11 / Lockheed  1049 S Const
Convair C-131D (CV-340-79)
Avia 14
McDonnell Douglas DC-8-21
Boeing B-707-320
Handley Page Hastings C-2
McDonnell Douglas DC-8-53
Lockheed L-188C Electra
Tupolev TU-104B
McDonnell Douglas DC-8-12
Vickers Viking 3B
Sud-Aviation Caravelle III
Lockheed 188C  Electra
Silver City Airways
Lockheed L-749A Constellation
de Havilland Comet 4
Vickers Viscount 720
Boeing 720-030B
Fairchild C-119G / Fairchild C-119
de Havilland Comet 4B
Grumman G-21A Goose
Antonov AN-10A
Fairchild F-27
Boeing B-707-123B
Ilyushin IL-14
Douglas C-47A-1
Convair CV-440 -62
Consolidated Catalina
Lockheed C121J
Boeing B-707-124
Boeing B-707-328
McDonnell Douglas DC-8-43
de Havilland Comet 4C
Bristol Britannia 314
McDonnell Douglas DC-8-33
Lockheed P2V-7
Lockheed 1049H-82 Super Constellation
Vickers 757 Viscount
de Havilland DH-125-1A
Convair CV-340/440
Vickers 828 Viscount
Ilyushin IL-18D
Saab Scandia / Cessna 310
Boeing B-707-441
Vickers Viscount 804
KB-50
Channel Air Bridge
Boeing B307-1 Stratoliner
Bell 74G
Beech AT-11
